j,mean_r,std_r,mean_mae,std_mae,coherence,n_folds
12,0.6445608198663944,0.10463029697052002,0.09334043811799132,0.035438356514561224,0.7397973760766953,11
13,0.6592661006860746,0.10604925823895671,0.09170870447558795,0.034815734139303264,0.7518123442909516,11
14,0.6500751833300517,0.1037649666688034,0.09242506031560621,0.03482141207725767,0.7588046748906796,11
15,0.6636992226731518,0.09929543714935146,0.09211639491058142,0.035827596348351816,0.7699235160726043,11
16,0.6698561139009908,0.09726093060374892,0.09083025610770125,0.03561071832086868,0.7710697852736739,11
17,0.6652328717427306,0.10374028530159878,0.09046415783751682,0.034252541370728064,0.7716523765629809,11
18,0.676788027829825,0.09434859838392007,0.08945661521067344,0.034383647367586874,0.7708080463549305,11
19,0.6832680080422673,0.09944376003427143,0.08806417585815424,0.03303468912617587,0.7778018927476191,11
20,0.6957571576114815,0.09188502898259929,0.08635953058722651,0.03360992066360422,0.7920929081425884,11
21,0.6911829331424405,0.09843466733618428,0.08738261461524606,0.03270065643867329,0.7894970217005798,11
22,0.7041508848225161,0.09674466071764151,0.08602133958310754,0.03156802679895119,0.7877013200529802,11
23,0.7209805918115144,0.09367882249896808,0.08368398905684876,0.033346201982160005,0.7984646544926398,11
24,0.7158041035566133,0.09275906002030102,0.08356388781911196,0.0324780712906141,0.791653798133832,11
25,0.7157360597764424,0.0952802796369381,0.08394547463982488,0.032854482866693895,0.8069919068939579,11
26,0.7289009586352466,0.09644392977699513,0.08210165323148734,0.03254461472097254,0.8070956458225089,11
27,0.7232075979087083,0.10050553342884568,0.08179562144856355,0.03163140808012213,0.8076573401967321,11
28,0.72469748410013,0.09959898813037002,0.08259808730271845,0.03241326999496453,0.8147560314087376,11
29,0.7373997323217278,0.09126231082264732,0.08017324999496395,0.0323498463877438,0.8170629421680726,11
30,0.7392742522533073,0.0938880349504067,0.0799363453510483,0.030818131421303668,0.8050057528582216,11
