race,geography,geo_level,dem_share,n_sample,date,pollster,notes,methodology,xt_education_college,xt_education_noncollege,xt_race_white,xt_race_black,xt_race_hispanic,xt_race_asian,xt_urbanicity_urban,xt_urbanicity_rural,xt_age_senior,xt_religion_evangelical,xt_vote_race_white,xt_vote_race_black,xt_vote_race_hispanic,xt_vote_race_asian,xt_vote_education_college,xt_vote_education_noncollege,xt_vote_age_senior
2026 AL Governor,AL,state,0.3908,605.0,2025-11-13,Cygnal,D=34.0% R=53.0%; LV; src=wikipedia,IVR,,,,,,,,,,,,,,,,,
2026 AZ Governor,AZ,state,0.5057,850.0,2025-11-10,Emerson College,D=44.0% R=43.0%; RV; src=rcp,mixed,0.355,0.645,0.712,0.026,0.187,0.022,,,0.39,,0.416,0.572,0.474,0.477,0.545,0.403,0.4385
2026 AZ Governor,AZ,state,0.5316,1023.0,2026-02-26,Noble Predictive Insights,D=42.0% R=37.0%; RV; src=rcp,mixed,,,,,,,,,,,,,,,,,
2026 FL Governor,FL,state,0.4607,600.0,2024-10-28,Cygnal,D=41.0% R=48.0%; LV; src=wikipedia,IVR,,,,,,,,,,,,,,,,,
2026 FL Governor,FL,state,0.4722,1200.0,2025-05-07,Targoz Market Research,D=34.0% R=38.0%; RV; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 FL Governor,FL,state,0.4559,600.0,2025-06-10,Victory Insights,D=31.0% R=37.0%; LV; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 FL Governor,FL,state,0.4556,800.0,2025-08-27,AIF Center (R),D=41.0% R=49.0%; LV; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 FL Governor,FL,state,0.427,1000.0,2025-08-27,Cygnal,D=38.0% R=51.0%; LV; src=wikipedia,IVR,,,,,,,,,,,,,,,,,
2026 FL Governor,FL,state,0.5062,631.0,2025-09-09,Bendixen & Amandi International,D=41.0% R=40.0%; LV; src=wikipedia,mixed,,,,,,,,,,,,,,,,,
2026 FL Governor,FL,state,0.4706,1118.0,2025-09-18,Targoz Market Research,D=32.0% R=36.0%; RV; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 FL Governor,FL,state,0.4231,728.0,2025-10-25,University of North Florida,D=33.0% R=45.0%; LV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 FL Governor,FL,state,0.4337,728.0,2025-10-28,University of North Florida,D=36.0% R=47.0%; LV; src=270towin,phone,,,,,,,,,,,,,,,,,
2026 FL Governor,FL,state,0.4675,1129.0,2026-02-16,Targoz Market Research,D=36.0% R=41.0%; LV; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 FL Governor,FL,state,0.4557,786.0,2026-03-02,University of North Florida,D=36.0% R=43.0%; LV; src=rcp,phone,,,,,,,,,,,,,,,,,
2026 FL Governor,FL,state,0.4557,786.0,2026-03-04,University of North Florida,D=36.0% R=43.0%; LV; src=270towin,phone,,,,,,,,,,,,,,,,,
2026 FL Governor,FL,state,0.4444,1125.0,2026-03-31,Emerson College,D=36.0% R=45.0%; LV; src=rcp,mixed,0.482,0.518,0.556,0.178,0.214,0.01,,,0.492,,0.323,0.636,0.411,0.241,0.4525,0.336,0.396
2026 FL Governor,FL,state,0.4875,1125.0,2026-04-02,Emerson College,D=39.0% R=41.0%; LV; src=270towin,mixed,0.482,0.518,0.556,0.178,0.214,0.01,,,0.492,,0.323,0.636,0.411,0.241,0.4525,0.336,0.396
2026 FL Governor,FL,state,0.5,1834.0,2026-04-03,MDW (D),D=41.0% R=41.0%; LV; src=wikipedia,,,,,,,,,,,,,,,,,,
2026 FL Governor,FL,state,0.4762,795.0,2026-04-06,Keystone Analytics,D=40.0% R=44.0%; LV; src=wikipedia,,,,,,,,,,,,,,,,,,
2026 FL Governor,FL,state,0.5,1834.0,2026-04-13,Edge / MDW Communications,D=41.0% R=41.0%; LV; src=270towin,,,,,,,,,,,,,,,,,,
2026 FL Senate,FL,state,0.4568,800.0,2025-10-03,Tyson Group,D=37.0% R=44.0%; LV; src=wikipedia,mixed,,,,,,,,,,,,,,,,,
2026 FL Senate,FL,state,0.4368,728.0,2025-10-25,University of North Florida,D=38.0% R=49.0%; LV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 FL Senate,FL,state,0.4524,786.0,2026-03-02,University of North Florida,D=38.0% R=46.0%; LV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 FL Senate,FL,state,0.4524,786.0,2026-03-04,University of North Florida,D=38.0% R=46.0%; LV; src=270towin,phone,,,,,,,,,,,,,,,,,
2026 FL Senate,FL,state,0.4337,1125.0,2026-03-31,Emerson College,D=36.0% R=47.0%; LV; src=wikipedia,mixed,0.482,0.518,0.556,0.178,0.214,0.01,,,0.492,,0.323,0.636,0.411,0.241,0.4525,0.336,0.396
2026 FL Senate,FL,state,0.4337,1125.0,2026-04-02,Emerson College,D=36.0% R=47.0%; LV; src=270towin,mixed,0.482,0.518,0.556,0.178,0.214,0.01,,,0.492,,0.323,0.636,0.411,0.241,0.4525,0.336,0.396
2026 FL Senate,FL,state,0.4941,1834.0,2026-04-03,MDW (D),D=42.0% R=43.0%; LV; src=wikipedia,,,,,,,,,,,,,,,,,,
2026 FL Senate,FL,state,0.4941,1834.0,2026-04-13,Edge / MDW Communications,D=42.0% R=43.0%; LV; src=270towin,,,,,,,,,,,,,,,,,,
2026 GA Senate,GA,state,0.5844,500.0,2025-01-15,WPA Intelligence,D=45.0% R=32.0%; LV; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 GA Senate,GA,state,0.5465,600.0,2025-01-31,Tyson Group,D=47.0% R=39.0%; LV; src=wikipedia,mixed,,,,,,,,,,,,,,,,,
2026 GA Senate,GA,state,0.5465,600.0,2025-02-11,Tyson Group,D=47.0% R=39.0%; LV; src=270towin,mixed,,,,,,,,,,,,,,,,,
2026 GA Senate,GA,state,0.4839,800.0,2025-02-13,Quantus Insights,D=45.0% R=48.0%; RV; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 GA Senate,GA,state,0.5,600.0,2025-03-10,Cygnal,D=44.0% R=44.0%; LV; src=wikipedia,IVR,,,,,,,,,,,,,,,,,
2026 GA Senate,GA,state,0.5517,1000.0,2025-04-24,Atlanta Journal-Constitution,D=48.0% R=39.0%; RV; src=wikipedia,unknown,,,,,,,,,,,,,,,,,
2026 GA Senate,GA,state,0.5275,1426.0,2025-04-27,Trafalgar Group,D=48.0% R=43.0%; LV; src=wikipedia,mixed,,,,,,,,,,,,,,,,,
2026 GA Senate,GA,state,0.5227,800.0,2025-05-17,Cygnal,D=46.0% R=42.0%; LV; src=rcp,IVR,,,,,,,,,,,,,,,,,
2026 GA Senate,GA,state,0.5169,800.0,2025-05-22,Cygnal,D=46.0% R=43.0%; LV; src=270towin,IVR,,,,,,,,,,,,,,,,,
2026 GA Senate,GA,state,0.5385,610.0,2025-06-18,Cygnal,D=49.0% R=42.0%; LV; src=wikipedia,IVR,,,,,,,,,,,,,,,,,
2026 GA Senate,GA,state,0.5238,2956.0,2025-08-01,TIPP Insights,D=44.0% R=40.0%; RV; src=rcp,mixed,,,,,,,,,,,,,,,,,
2026 GA Senate,GA,state,0.5195,624.0,2025-09-12,Quantus Insights,D=40.0% R=37.0%; RV; src=rcp,online,,,,,,,,,,,,,,,,,
2026 GA Senate,GA,state,0.5455,624.0,2025-09-15,Quantus Insights,D=42.0% R=35.0%; LV; src=270towin,online,,,,,,,,,,,,,,,,,
2026 GA Senate,GA,state,0.5165,1000.0,2026-03-02,Emerson College,D=47.0% R=44.0%; LV; src=rcp,mixed,0.395,0.605,0.602,0.286,0.081,0.017,,,0.355,,0.348,0.768,0.361,0.596,0.585,0.389,0.455
2026 GA Senate,GA,state,0.5444,1000.0,2026-03-05,Emerson College,D=49.0% R=41.0%; LV; src=270towin,mixed,0.395,0.605,0.602,0.286,0.081,0.017,,,0.355,,0.348,0.768,0.361,0.596,0.585,0.389,0.455
2026 Generic Ballot,US,national,0.5464,1392.0,2026-03-04,NPR,D=53.0% R=44.0%; RV; src=rcp,phone,,,,,,,,,,,,,,,,,
2026 Generic Ballot,US,national,0.5238,1147.0,2026-03-16,Yahoo News,D=44.0% R=40.0%; RV; src=rcp,unknown,,,,,,,,,,,,,,,,,
2026 Generic Ballot,US,national,0.5385,1000.0,2026-03-17,Emerson College,D=49.0% R=42.0%; LV; src=rcp,mixed,,,,,,,,,,,,,,,,,
2026 Generic Ballot,US,national,0.5128,985.0,2026-03-23,Reuters,D=40.0% R=38.0%; RV; src=rcp,phone,,,,,,,,,,,,,,,,,
2026 Generic Ballot,US,national,0.5604,1191.0,2026-03-23,Quinnipiac University,D=51.0% R=40.0%; RV; src=rcp,phone,,,,,,,,,,,,,,,,,
2026 Generic Ballot,US,national,0.5172,2222.0,2026-03-23,Rasmussen Reports,D=45.0% R=42.0%; LV; src=rcp,mixed,,,,,,,,,,,,,,,,,
2026 Generic Ballot,US,national,0.5455,3003.0,2026-03-24,Big Data Poll,D=48.0% R=40.0%; LV; src=rcp,online,,,,,,,,,,,,,,,,,
2026 Generic Ballot,US,national,0.52,,2026-03-26,Harvard-Harris,D=52.0% R=48.0%; LV; src=rcp,online,,,,,,,,,,,,,,,,,
2026 Generic Ballot,US,national,0.5341,1472.0,2026-03-26,Quantus Insights,D=47.0% R=41.0%; LV; src=rcp,online,,,,,,,,,,,,,,,,,
2026 Generic Ballot,US,national,0.5333,952.0,2026-03-30,CNN,D=48.0% R=42.0%; RV; src=rcp,phone,,,,,,,,,,,,,,,,,
